Shaft Speed [rev/min],Mass Flow [kg/s],Pressure Ratio
35300,0.158805326,1.302086539
35300,0.186583969,1.298970399
35300,0.236591038,1.273521364
35300,0.287711885,1.238475691
35300,0.324388298,1.203386412
44900,0.214302168,1.513454077
44900,0.254303913,1.507174837
44900,0.272084342,1.497628514
44900,0.299865652,1.484912382
44900,0.339876285,1.446633168
44900,0.362102933,1.430700268
44900,0.378774919,1.411550598
44900,0.403229121,1.376424422
44900,0.439909979,1.325335157
54500,0.251994581,1.820767865
54500,0.267550124,1.820814825
54500,0.307552757,1.811335588
54500,0.321998967,1.804979199
54500,0.337557176,1.795426167
54500,0.358671825,1.78268991
54500,0.410906448,1.738047599
54500,0.468700177,1.680622071
54500,0.486485051,1.655075761
54500,0.503162371,1.616726108
54500,0.51872858,1.5783731
54500,0.536522343,1.520826817
64100,0.297438099,2.224105053
64100,0.327438073,2.224195619
64100,0.368548261,2.227519725
64100,0.386327802,2.221173399
64100,0.405219342,2.21163043
64100,0.421888661,2.202080753
64100,0.445224641,2.192551201
64100,0.481898388,2.167061914
64100,0.571926757,2.064933698
64100,0.523020132,2.128786056
64100,0.523020132,2.128786056
64100,0.583048526,2.026567273
64100,0.596401403,1.956207584
64100,0.609752503,1.892247889
64100,0.627557822,1.793101641
73700,0.38062114,2.765156172
73700,0.399509124,2.768413192
73700,0.449507304,2.77496413
73700,0.485061941,2.778271465
73700,0.528400572,2.759202298
73700,0.55618277,2.743286169
73700,0.593969405,2.711400242
73700,0.65954535,2.637998207
73700,0.718454634,2.564576046
73700,0.727370182,2.468602961
73700,0.734070621,2.347023189
73700,0.745231501,2.167856882
83300,0.511521475,3.523951343
83300,0.540410339,3.524038554
83300,0.560409434,3.527298929
83300,0.58374097,3.533769364
83300,0.609294726,3.540246507
83300,0.641518699,3.533943787
83300,0.677080447,3.511651143
83300,0.719307078,3.49577862
83300,0.820455438,3.361683973
83300,0.76820837,3.451126246
83300,0.853813632,3.272184677
83300,0.860513182,3.153804902
83300,0.866102511,3.032221776
83300,0.873927393,2.862645398
83300,0.880654498,2.645065706
92900,0.706787978,4.564540826
92900,0.737899063,4.564634747
92900,0.769011925,4.558328672
92900,0.802347009,4.552029306
92900,0.855690075,4.516990342
92900,0.903498035,4.408334668
92900,0.940202893,4.270845475
92900,0.994698847,4.085409991
92900,1.003617062,3.979836914
92900,1.009218835,3.813453825
92900,1.015945052,3.599074131
92900,1.022696157,3.295094511
102500,0.847545193,5.838565754
102500,0.873111394,5.800242935
102500,0.930918456,5.694817447
102500,0.994295292,5.538208773
102500,1.051037467,5.26638007
102500,1.022114824,5.387892756
102500,0.964271317,5.624518135
102500,1.095513874,5.151314339
102500,1.115547635,5.029774818
102500,1.120024075,4.914588332
102500,1.122276518,4.805795131
102500,1.126802736,4.511408795
102500,1.135816062,4.063436006
