Effiency [%],Mass Flow [kg/s],Pressure Ratio
74,0.721214486,3.493447439
74,0.707154178,3.409678849
74,0.6807911,3.252295472
74,0.656185562,3.097451374
74,0.629822484,2.927377127
74,0.601701868,2.744610903
74,0.581490176,2.577078698
74,0.563914791,2.384166409
74,0.572702483,2.308026712
74,0.627186176,2.348671765
74,0.690457562,2.473082091
74,0.748456332,2.660943454
74,0.790637256,2.846256695
74,0.834575718,3.102639918
74,0.873241565,3.374248869
74,0.917180027,3.820995151
74,0.932119104,4.04944022
74,0.944421874,4.260116411
74,0.950573259,4.460636037
74,0.946179412,4.683992597
74,0.930361566,4.798200485
74,0.876756642,4.592574666
74,0.843363411,4.397114255
74,0.809970179,4.158504884
74,0.780092025,3.942741291
74,0.750213871,3.714286827
73,0.954967105,5.189094778
73,0.903119719,5.044386244
73,0.858302488,4.846380474
73,0.817000333,4.615380651
73,0.784485871,4.422458967
73,0.758122794,4.201621236
73,0.732638486,3.970631362
73,0.709790485,3.739643145
73,0.682548639,3.518804862
73,0.658821869,3.348732272
73,0.618398484,3.07966039
73,0.581490176,2.861354201
73,0.545460637,2.622743172
73,0.519976329,2.42982591
73,0.498007097,2.264830773
73,0.477795405,2.089684046
73,0.477795405,1.967851687
73,0.539309252,1.993272117
73,0.609610792,2.148144954
73,0.672003408,2.338547255
73,0.722093255,2.521327296
73,0.772183102,2.752332646
73,0.82051541,2.998565935
73,0.869726488,3.272719692
73,0.91454372,3.496107204
73,0.952330797,3.694108552
73,0.98396649,3.912411425
73,0.999784336,4.166238787
73,1.004178183,4.465746099
73,1.000663106,4.770324785
73,0.991875413,4.960682318
72,0.850393565,4.988513251
72,0.798546179,4.719434184
72,0.749335102,4.430051382
72,0.720335716,4.204135645
72,0.688700024,3.917302071
72,0.62279233,3.363938657
72,0.577975099,3.074558618
72,0.544581867,2.841025595
72,0.50679479,2.592260764
72,0.465492635,2.323188329
72,0.427705558,2.018583667
72,0.409251404,1.835823523
72,0.41364525,1.739375669
72,0.469007712,1.792712145
72,0.53052156,1.906968669
72,0.597308022,2.061839296
72,0.656185562,2.239548515
72,0.705396639,2.412175307
72,0.767789256,2.668570136
72,0.819636641,2.935111029
72,0.864453873,3.181342107
72,0.908392335,3.374270976
72,0.947058182,3.567196529
72,0.980451413,3.785500507
72,1.005056952,4.039333396
72,1.013844644,4.338843471
72,1.01823849,4.61804539
72,1.01911726,4.973390322
72,1.013844644,5.247509813
72,1.004178183,5.407408704
72,0.990996644,5.496236509
72,0.936512951,5.38452258
72,0.898725873,5.232208366
60,1.127205877,4.516586957
60,1.106994184,4.343978404
60,1.077994799,4.069837358
60,1.054268029,3.866768505
60,1.020874798,3.623082785
60,0.969906182,3.318469833
60,0.920695104,3.054468772
60,0.857423719,2.765077127
60,0.799424948,2.516299584
60,0.697487716,2.1405857
60,0.583247714,1.780093123
60,0.470765251,1.470365135
60,0.361797865,1.307853457
60,0.291496325,1.229125844
60,0.189559093,1.307745131
60,0.215043401,1.500662393
60,0.274799709,1.830662614
60,0.328404633,2.226651493
60,0.382888326,2.587106487
60,0.422432942,2.912017648
60,0.825788026,5.541819739
60,0.873241565,5.790590649
